Date,Yoga,Walk,Meditation,Reading,Play with  kids,Talk something productive,Piano play,New skill / learning for office,No sugar/fried food,No anger,Memorize Gita Shloks,Write vachanamrut summary,Books,Articles,Food,Spiritual,Hobby,Family,Projects,Miscellenous,Summary
11/5/2022,6,6,7,0,20,0,14,6,0,0,,,,,,,piano,,,Went out for dinner with family,
11/6/2022,5,0,16,18,10,0,0,12,1,0,,,,,,,,,,,
11/7/2022,16,7,5,8,12,10,9,6,1,1,,,,,,,,,,,
11/8/2022,0,12,20,16,0,0,10,5,0,0,,,,,,,,,,,
11/9/2022,20,16,10,0,10,5,16,16,1,1,,,,,,,,,,,
11/10/2022,7,0,8,16,0,0,0,14,0,0,,2,,,,,,,,,
11/11/2022,6,20,5,0,0,10,10,14,1,1,,,,,,,,,,,
11/12/2022,6,9,10,10,14,10,7,5,1,1,3,,,,,,,,,,
11/13/2022,18,6,10,20,0,12,6,0,0,1,,,,,,,,,,,
11/14/2022,5,8,8,0,0,20,14,0,0,1,,,,,,,,,,,
11/15/2022,6,7,20,0,10,10,0,9,0,0,,2,,,,,,,,,
11/16/2022,0,0,16,0,20,14,7,8,1,1,,,,,,,,,,,
11/17/2022,0,0,0,10,7,7,0,8,0,0,3,,,,,,,,,,
11/18/2022,10,9,18,0,0,18,10,0,1,1,,,,,,,,,,,
11/19/2022,12,6,6,10,7,18,5,9,1,1,,,,,,,,,,,
11/20/2022,20,10,8,9,0,10,0,0,1,1,,2,,,,,,,,,
11/21/2022,0,5,0,0,18,7,0,0,0,0,,,,,,,,,,,
11/22/2022,5,5,7,8,7,6,8,0,1,0,,,,,,,,,,,
11/23/2022,7,20,0,5,5,7,10,12,1,1,,,,,,,,,,,
11/24/2022,10,16,10,8,0,18,10,18,0,0,,,,,,,,,,,
11/25/2022,12,7,0,7,0,0,18,0,1,0,,,,,,,,,,,
11/26/2022,14,0,0,12,8,0,0,20,1,0,,2,,,,,,,,,
11/27/2022,7,16,9,0,7,6,8,0,1,1,3,,,,,,,,,,
